"time_begin","file_found","time_file","rows","time_end","error_script"
"2022-04-02 06:11:02",TRUE,"2022-04-02 06:10:04",280,"2022-04-02 06:12:02",FALSE
"2022-04-02 07:11:02",TRUE,"2022-04-02 07:10:04",280,"2022-04-02 07:12:03",FALSE
"2022-04-02 08:11:02",TRUE,"2022-04-02 08:10:04",280,"2022-04-02 08:12:03",FALSE
"2022-04-02 09:11:03",TRUE,"2022-04-02 09:10:03",280,"2022-04-02 09:12:03",FALSE
"2022-04-02 09:12:03",TRUE,"2022-04-02 08:15:03",960,"2022-04-02 09:13:04",FALSE
"2022-04-02 10:11:02",TRUE,"2022-04-02 10:10:03",280,"2022-04-02 10:12:03",FALSE
"2022-04-02 11:11:02",TRUE,"2022-04-02 11:10:03",280,"2022-04-02 11:12:03",FALSE
"2022-04-02 12:11:02",TRUE,"2022-04-02 12:10:04",280,"2022-04-02 12:12:03",FALSE
"2022-04-02 13:11:03",TRUE,"2022-04-02 13:10:03",280,"2022-04-02 13:12:04",FALSE
"2022-04-02 14:11:02",TRUE,"2022-04-02 14:10:03",280,"2022-04-02 14:12:03",FALSE
"2022-04-02 15:11:03",TRUE,"2022-04-02 15:10:05",280,"2022-04-02 15:12:05",FALSE
"2022-04-02 16:11:02",TRUE,"2022-04-02 16:10:06",280,"2022-04-02 16:12:03",FALSE
"2022-04-02 17:11:02",TRUE,"2022-04-02 17:10:05",280,"2022-04-02 17:12:05",FALSE
"2022-04-02 18:11:02",TRUE,"2022-04-02 18:10:05",280,"2022-04-02 18:12:06",FALSE
"2022-04-02 19:11:02",TRUE,"2022-04-02 19:10:05",280,"2022-04-02 19:12:05",FALSE
"2022-04-02 20:11:03",TRUE,"2022-04-02 20:10:04",280,"2022-04-02 20:12:05",FALSE
"2022-04-02 21:11:02",TRUE,"2022-04-02 21:10:04",280,"2022-04-02 21:12:06",FALSE
"2022-04-02 22:11:03",TRUE,"2022-04-02 22:10:04",280,"2022-04-02 22:12:06",FALSE
"2022-04-02 23:11:02",TRUE,"2022-04-02 23:10:05",280,"2022-04-02 23:12:04",FALSE
