sampling_point_id,begin_position,end_position,value,verification_flag,validation_flag
SPO-AD0944A-9052,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,103,3,1
SPO-AD0944A-9052,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9051,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0.8,3,1
SPO-AD0944A-9051,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0.3,3,1
SPO-AD0944A-9051,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0.2,3,1
SPO-AD0944A-9051,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,0.2,3,1
SPO-AD0944A-9051,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,0.3,3,1
SPO-AD0944A-9051,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,0.3,3,1
SPO-AD0944A-9051,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9053,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,835,3,1
SPO-AD0944A-9053,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9054,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,3,3,1
SPO-AD0944A-9054,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,3,3,1
SPO-AD0944A-9054,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,2.5,3,1
SPO-AD0944A-9054,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,2,3,1
SPO-AD0944A-9054,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,2.7,3,1
SPO-AD0944A-9054,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,3.9,3,1
SPO-AD0944A-9054,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9058,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,24.7,3,1
SPO-AD0944A-9058,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,25.3,3,1
SPO-AD0944A-9058,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,26.7,3,1
SPO-AD0944A-9058,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,28.4,3,1
SPO-AD0944A-9058,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,26.1,3,1
SPO-AD0944A-9058,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,25.4,3,1
SPO-AD0944A-9058,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9072,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,3,3,1
SPO-AD0944A-9072,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,3,3,1
SPO-AD0944A-9072,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,3,3,1
SPO-AD0944A-9072,2021-12-21T07:00:00+01:00,2021-12-21T08:00:00+01:00,3,3,1
SPO-AD0944A-9072,2021-12-21T08:00:00+01:00,2021-12-21T09:00:00+01:00,12,3,1
SPO-AD0944A-9072,2021-12-21T09:00:00+01:00,2021-12-21T10:00:00+01:00,74,3,1
SPO-AD0944A-9072,2021-12-21T10:00:00+01:00,2021-12-21T11:00:00+01:00,NA,3,-1
SPO-AD0944A-9060,2021-12-21T04:00:00+01:00,2021-12-21T05:00:00+01:00,0,3,1
SPO-AD0944A-9060,2021-12-21T05:00:00+01:00,2021-12-21T06:00:00+01:00,0,3,1
SPO-AD0944A-9060,2021-12-21T06:00:00+01:00,2021-12-21T07:00:00+01:00,0,3,1
